commodity_group,exporter,export_value,import_value
10,ERI,0.0,0.0
10,ETH,12.0,40604.0
10,GAB,0.0,0.0
10,GHA,0.0,0.0
10,GIN,0.0,0.0
10,GMB,0.0,3370.0
10,GNB,0.0,0.0
10,GNQ,0.0,0.0
10,KEN,0.0,0.0
10,LBR,0.0,0.0
10,LBY,0.0,9800.0
10,LSO,0.0,0.0
10,MAR,0.0,12662.0
10,MDG,0.0,395500.0
10,MLI,0.0,32.0
10,MOZ,0.0,1824953.0
10,MRT,0.0,512596.0
10,MUS,0.0,282298.0
10,MWI,0.0,0.0
10,NAM,0.0,915.0
10,NER,126927.0,465309.0
10,NGA,0.0,0.0
10,RWA,0.0,19932.0
10,SDN,0.0,0.0
10,SEN,0.0,1714236.0
10,SLE,0.0,10939.0
10,SOM,0.0,0.0
10,STP,0.0,76.0
10,SWZ,0.0,0.0
10,SYC,0.0,0.0
10,TCD,0.0,0.0
10,TGO,0.0,0.0
10,TUN,0.0,0.0
10,TZA,0.0,13702.0
10,UGA,0.0,28245.0
10,ZAF,4438.0,4690082.0
10,ZMB,0.0,27153.0
10,ZWE,0.0,524993.0
11,AGO,0.0,934887.0
11,BDI,0.0,0.0
11,BEN,0.0,154588.0
11,BFA,0.0,5608.0
11,BWA,132.0,1008.0
11,CAF,0.0,0.0
11,CIV,0.0,24003.0
11,CMR,0.0,2395136.0
11,COD,577233.0,38308471.0
11,COG,0.0,1030.0
11,COM,0.0,0.0
11,CPV,0.0,0.0
11,DJI,0.0,10913.0
11,DZA,0.0,28910.0
11,EGY,0.0,1371154.0
11,ERI,0.0,22.0
11,ETH,178.0,106535.0
11,GAB,0.0,0.0
11,GHA,0.0,331030.0
11,GIN,0.0,2.0
11,GMB,0.0,4183.0
11,GNB,0.0,0.0
11,GNQ,0.0,0.0
11,KEN,0.0,11231.0
11,LBR,0.0,0.0
11,LBY,0.0,1739.0
11,LSO,0.0,0.0
11,MAR,0.0,0.0
11,MDG,0.0,111749.0
11,MLI,0.0,44303.0
11,MOZ,0.0,82843.0
11,MRT,0.0,4762.0
11,MUS,0.0,83439.0
11,MWI,0.0,31863.0
11,NAM,0.0,229.0
11,NER,0.0,13516.0
11,NGA,0.0,3262601.0
11,RWA,0.0,4061.0
11,SDN,0.0,0.0
11,SEN,1319.0,42237.0
11,SLE,0.0,98.0
11,SOM,0.0,0.0
11,STP,0.0,0.0
11,SWZ,0.0,0.0
11,SYC,0.0,0.0
11,TCD,0.0,0.0
11,TGO,0.0,4140.0
11,TUN,0.0,0.0
11,TZA,0.0,5188.0
11,UGA,0.0,0.0
11,ZAF,102.0,1653058.0
11,ZMB,0.0,39145.0
11,ZWE,0.0,483382.0
12,AGO,0.0,45141.0
12,BDI,0.0,121.0
12,BEN,1691249.0,42097.0
12,BFA,202757.0,47629.0
12,BWA,0.0,264.0
12,CAF,0.0,0.0
12,CIV,552866.0,105725.0
12,CMR,225446.0,13877.0
12,COD,12284953.0,2676836.0
12,COG,0.0,1437.0
12,COM,0.0,492.0
12,CPV,0.0,0.0
12,DJI,864164.0,0.0
12,DZA,16299.0,14839255.0
12,EGY,515861.0,79702372.0
12,ERI,0.0,302.0
12,ETH,388112999.0,521561.0
12,GAB,0.0,0.0
12,GHA,8822352.0,21191.0
12,GIN,0.0,57.0
12,GMB,0.0,364.0
12,GNB,0.0,0.0
12,GNQ,0.0,1093.0
12,KEN,1061300.0,487361.0
12,LBR,0.0,0.0
12,LBY,0.0,3677973.0
12,LSO,0.0,3433.0
12,MAR,351015.0,1552425.0
12,MDG,86631.0,1644580.0
12,MLI,51500000.0,0.0
12,MOZ,88895490.0,102265.0
12,MRT,0.0,2277.0
12,MUS,0.0,473348.0
12,MWI,0.0,30.0
12,NAM,110286.0,1736.0
12,NER,36000000.0,234645.0
12,NGA,2792005.0,0.0
12,RWA,57730.0,20691.0
12,SDN,97288364.0,1565550.0
12,SEN,8044279.0,365555.0
12,SLE,0.0,0.0
12,SOM,25600000.0,0.0
12,STP,0.0,0.0
12,SWZ,0.0,0.0
12,SYC,0.0,0.0
12,TCD,0.0,0.0
12,TGO,96456475.0,0.0
12,TUN,0.0,986998.0
12,TZA,155647186.0,90673.0
12,UGA,68900000.0,29400.0
12,ZAF,2390656.0,6408706.0
12,ZMB,186.0,64953.0
12,ZWE,51.0,2127.0
13,AGO,0.0,0.0
13,BDI,0.0,0.0
13,BEN,0.0,10921.0
13,BFA,0.0,56405.0
13,BWA,2426131.0,173.0
13,CAF,0.0,0.0
13,CIV,0.0,0.0
13,CMR,0.0,113380.0
13,COD,0.0,1717722.0
13,COG,0.0,0.0
13,COM,0.0,0.0
13,CPV,0.0,0.0
13,DJI,0.0,68626.0
13,DZA,0.0,1354235.0
13,EGY,21.0,2071791.0
13,ERI,0.0,0.0
13,ETH,3701399.0,5404.0
13,GAB,0.0,0.0
13,GHA,24874.0,255527.0
13,GIN,0.0,0.0
13,GMB,0.0,0.0
13,GNB,0.0,0.0
13,GNQ,0.0,0.0
13,KEN,666239.0,166941.0
13,LBR,0.0,0.0
13,LBY,0.0,10886.0
13,LSO,0.0,0.0
13,MAR,1355376.0,425639.0
13,MDG,831870.0,5750.0
13,MLI,0.0,0.0
13,MOZ,0.0,239131.0
13,MRT,0.0,0.0
13,MUS,0.0,317402.0
13,MWI,0.0,0.0
13,NAM,0.0,0.0
13,NER,0.0,0.0
13,NGA,250269.0,2331208.0
13,RWA,0.0,13594.0
13,SDN,1363732.0,240441.0
13,SEN,0.0,6791.0
13,SLE,0.0,0.0
13,SOM,0.0,0.0
13,STP,0.0,0.0
13,SWZ,0.0,0.0
13,SYC,0.0,0.0
13,TCD,93370.0,0.0
13,TGO,0.0,0.0
13,TUN,0.0,315378.0
13,TZA,0.0,956450.0
13,UGA,0.0,0.0
13,ZAF,15206.0,4406655.0
13,ZMB,348.0,197322.0
13,ZWE,0.0,20679.0
14,AGO,0.0,48570.0
14,BDI,0.0,0.0
14,BEN,926887.0,0.0
14,BFA,0.0,0.0
14,BWA,0.0,12828.0
14,CAF,0.0,0.0
14,CIV,419350.0,2748.0
14,CMR,1174583.0,23292.0
14,COD,215950.0,340869.0
14,COG,0.0,0.0
14,COM,0.0,0.0
14,CPV,0.0,0.0
14,DJI,0.0,0.0
14,DZA,0.0,44309.0
14,EGY,2520.0,9673.0
14,ERI,0.0,0.0
14,ETH,0.0,23515.0
14,GAB,0.0,0.0
14,GHA,360523.0,0.0
14,GIN,0.0,0.0
14,GMB,0.0,361.0
14,GNB,0.0,0.0
14,GNQ,0.0,0.0
14,KEN,0.0,189968.0
14,LBR,0.0,0.0
14,LBY,0.0,0.0
14,LSO,0.0,0.0
14,MAR,0.0,24150.0
14,MDG,764680.0,0.0
14,MLI,0.0,0.0
14,MOZ,3020.0,10997.0
14,MRT,0.0,23232.0
14,MUS,0.0,97609.0
14,MWI,85544.0,0.0
14,NAM,0.0,163.0
14,NER,0.0,2560.0
14,NGA,1079592.0,343800.0
14,RWA,0.0,6239.0
14,SDN,11420.0,740.0
